Sample_ID,Site,Lability,Analyte,Peak_Concentration,Concentration_Units,Rep,t0,t3,t21,time,event_date,Field_sample_date,Field_sample_time,Stage,Notes_general,Notes_data
112,BMW,T21,TOC,,,1,7/2/2021,NA,8/5/2021,16:31,7/1/2021,7/2/2021,8:00,flood,"Switched from gas to water sample filtered again to .2 microns, so these were sampled later than 21 days",
112,BMW,T21,TOC,21.67,mg/L,1,7/2/2021,NA,8/5/2021,16:31,7/1/2021,7/2/2021,8:00,flood,,
112,BMW,T21,TOC,21.79,mg/L,2,7/2/2021,NA,8/5/2021,16:31,7/1/2021,7/2/2021,8:00,flood,,
113,BMW,T21,TOC,,,2,7/2/2021,NA,8/5/2021,16:31,7/1/2021,7/2/2021,8:00,flood,"Switched from gas to water sample filtered again to .2 microns, so these were sampled later than 21 days",
113,BMW,T21,TOC,21.51,mg/L,1,7/2/2021,NA,8/5/2021,16:31,7/1/2021,7/2/2021,8:00,flood,,
113,BMW,T21,TOC,20.94,mg/L,2,7/2/2021,NA,8/5/2021,16:31,7/1/2021,7/2/2021,8:00,flood,,
114,BMW,T21,TOC,,,3,7/2/2021,NA,8/5/2021,16:31,7/1/2021,7/2/2021,8:00,flood,"Switched from gas to water sample filtered again to .2 microns, so these were sampled later than 21 days",
114,BMW,T21,TOC,49.6,mg/L,1,7/2/2021,NA,8/5/2021,16:31,7/1/2021,7/2/2021,8:00,flood,,
114,BMW,T21,TOC,21.01,mg/L,2,7/2/2021,NA,8/5/2021,16:31,7/1/2021,7/2/2021,8:00,flood,,
121,BMW,D21,DOC,24.45,mg/L,1,7/2/2021,NA,8/5/2021,20:13,7/1/2021,7/2/2021,8:00,flood,"Switched from gas to water sample filtered again to .2 microns, so these were sampled later than 21 days",
121,BMW,D21,DOC,33.132,mg/L,2,7/2/2021,NA,8/5/2021,20:13,7/1/2021,7/2/2021,8:00,flood,"Switched from gas to water sample filtered again to .2 microns, so these were sampled later than 21 days",tube was broken and most of sample gone
122,BMW,D21,DOC,24.46,mg/L,1,7/2/2021,NA,8/5/2021,20:13,7/1/2021,7/2/2021,8:00,flood,"Switched from gas to water sample filtered again to .2 microns, so these were sampled later than 21 days",
122,BMW,D21,DOC,25.19,mg/L,2,7/2/2021,NA,8/5/2021,20:13,7/1/2021,7/2/2021,8:00,flood,"Switched from gas to water sample filtered again to .2 microns, so these were sampled later than 21 days",
123,BMW,D21,DOC,19.07,mg/L,1,7/2/2021,NA,8/5/2021,20:13,7/1/2021,7/2/2021,8:00,flood,"Switched from gas to water sample filtered again to .2 microns, so these were sampled later than 21 days",
123,BMW,D21,DOC,32.22,mg/L,2,7/2/2021,NA,8/5/2021,20:13,7/1/2021,7/2/2021,8:00,flood,"Switched from gas to water sample filtered again to .2 microns, so these were sampled later than 21 days",tube was broken and most of sample gone
139,RV,T21,TOC,,,1,7/14/2021,NA,8/5/2021,20:13,7/14/2021,7/14/2021,8:36,flood,,
139,RV,T21,TOC,13.96,mg/L,2,7/14/2021,NA,8/5/2021,20:13,7/14/2021,7/14/2021,8:36,flood,,
139,RV,T21,TOC,10.27,mg/L,1,7/14/2021,NA,8/5/2021,20:13,7/14/2021,7/14/2021,8:36,flood,,
140,RV,T21,TOC,,,2,7/14/2021,NA,8/5/2021,20:13,7/14/2021,7/14/2021,8:36,flood,,
140,RV,T21,TOC,12.98,mg/L,1,7/14/2021,NA,8/5/2021,20:13,7/14/2021,7/14/2021,8:36,flood,,
140,RV,T21,TOC,11.41,mg/L,2,7/14/2021,NA,8/5/2021,20:13,7/14/2021,7/14/2021,8:36,flood,,
141,RV,T21,TOC,,,3,7/14/2021,NA,8/5/2021,20:13,7/14/2021,7/14/2021,8:36,flood,,
141,RV,T21,TOC,14.67,mg/L,1,7/14/2021,NA,8/5/2021,20:13,7/14/2021,7/14/2021,8:36,flood,,
141,RV,T21,TOC,11.3,mg/L,2,7/14/2021,NA,8/5/2021,20:13,7/14/2021,7/14/2021,8:36,flood,,
