Site,DateTime,burn,trib_main,Type,Event_Date,Stage,DOC_mgL,SRP_ugL,TC_mgL,TDP_mgL,TN_mgL,TOC_mgL,NH4N_color_mgL,Fluoride_mgL,Chloride_mgL,Sulfate_mgL,Bromide_mgL,NitrateN_mgL,Sodium_uM,Ammonium_uM,Potassium_uM,Magnesium_uM,Calcium_uM
BMW,8/23/20 13:15,burned,mainstem,GRAB,8/22/20,flood,48.54666667,136.4666667,NA,NA,3.905333333,NA,0.050033333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMW,12/28/20 12:00,burned,mainstem,GRAB,NA,baseflow,2.274,51.3,NA,NA,0.004,NA,0.0122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMW,1/17/21 11:13,burned,mainstem,GRAB,NA,baseflow,2.452,NA,NA,NA,0.004,NA,NA,0.382125,5.317275,11.728525,0.035225,3.313075,241.1894,8.70375,72.8343,172.9149,519.20815
BMW,1/27/21 12:00,burned,mainstem,GRAB,NA,baseflow,3.0225,NA,NA,NA,0.64175,NA,0.0183,0.525842857,10.83705714,23.4589,0.061742857,4.134271429,490.2166357,3.956771429,68.9353,324.5081857,787.5472214
BMW,3/3/21 10:20,burned,mainstem,GRAB,NA,baseflow,2.679,NA,NA,NA,0.004,NA,0.0125,0.55985,12.29875,18.55755,0.04545,1.686625,603.98225,10.724925,63.0094,330.7519,645.917575
BMW,4/12/21 7:45,burned,mainstem,GRAB,NA,baseflow,2.799,NA,NA,NA,0.004,NA,0.003,0.3018,3.4942,6.3537,0.0346,2.6274,169.8658,8.8358,37.981,135.0088,453.555
BMW,4/14/21 12:00,burned,mainstem,GRAB,NA,baseflow,NA,NA,NA,NA,NA,NA,NA,0.8182,34.0418,28.15,0.0433,0.0449,1483.3575,1.53,27.194,773.045,816.4715
BMW,6/2/21 12:00,burned,mainstem,GRAB,NA,baseflow,39.995,932.5,60.545,0.396,3.07,NA,0.9055,1.2898,14.4862,27.9119,6.7248,4.0766,129.7135,6.236,176.682,141.3125,675.769
BMW,7/24/21 12:05,burned,mainstem,GRAB,7/23/21,flood,11.15,289,24.495,0.00465,0.94,NA,0.0422,0.3069,11.3801,26.2746,0.0023,2.4541,289.818,1.53,81.3035,205.8285,679.1315
BMW,7/26/21 12:00,burned,mainstem,GRAB,7/25/21,flood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMW,7/31/21 1:42,burned,mainstem,ISCO,7/31/21,flood,6.897,45.2,60.45,0.00465,0.819,NA,0.031,0.5129,44.4063,195.321,0.0023,1.0355,2295.2055,1.53,92.6335,1317.115,1282.342
BMW,7/31/21 1:57,burned,mainstem,ISCO,7/31/21,flood,21.58,227,NA,NA,1.925,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMW,7/31/21 2:12,burned,mainstem,ISCO,7/31/21,flood,28.465,365.5,NA,NA,2.568,27.45,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMW,7/31/21 2:27,burned,mainstem,ISCO,7/31/21,flood,30.115,243,NA,NA,3.431,NA,0.4475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMW,7/31/21 2:42,burned,mainstem,ISCO,7/31/21,flood,31.865,305,NA,NA,3.834,NA,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
