"SampleID","site","position","rep","date","weight","units","C_pct","H_pct","N_pct","year","C_mg_g","N_mg_g"
"A1","RV","Up",1,2023-02-06,2.01,"mg",6.31,1.08,0.6,2020,63.1,6
"B1","RV","Up",2,2023-02-06,1.99,"mg",6.18,1.02,0.63,2020,61.8,6.3
"C1","RV","Up",3,2023-02-06,2.07,"mg",6.25,0.97,0.62,2020,62.5,6.2
"A2","RV/SS","Up",1,2023-02-06,2.1,"mg",8.65,1.14,0.74,2021,86.5,7.4
"B2","RV/SS","Up",2,2023-02-06,2.08,"mg",8.29,1.09,0.71,2021,82.9,7.1
"C2","RV/SS","Up",3,2023-02-06,2.08,"mg",8.29,1.04,0.71,2021,82.9,7.1
"A3","PC","Up",1,2023-02-06,2.02,"mg",5.12,0.34,0.37,2022,51.2,3.7
"B3","PC","Up",2,2023-02-06,2.1,"mg",6.13,0.58,0.52,2022,61.3,5.2
"C3","PC","Up",3,2023-02-06,2.06,"mg",3.79,0.32,0.37,2022,37.9,3.7
"A4","PC","Rill",1,2023-02-06,2.03,"mg",5.36,0.36,0.35,2022,53.6,3.5
"B4","PC","Rill",2,2023-02-06,1.95,"mg",5.01,0.43,0.24,2022,50.1,2.4
"C4","PC","Rill",3,2023-02-06,2.05,"mg",2.6,0.25,0.15,2022,26,1.5
"A5","PC","Bank",1,2023-02-06,2.01,"mg",5.22,0.58,0.42,2022,52.2,4.2
"B5","PC","Bank",2,2023-02-06,2.06,"mg",6.27,0.64,0.42,2022,62.7,4.2
"C5","PC","Bank",3,2023-02-06,1.95,"mg",4.46,0.5,0.41,2022,44.6,4.1
