"sample_id","rep","site","position","year_collected","analyte","analyte_concentration","concentration_unit","lability_yn","Year_Since_Fire","mg_per_g_ash"
7,1,"RV","Up",2020,"DOC",27.29,"mg/L",NA,0,1.3645
7,2,"RV","Up",2020,"DOC",27.07,"mg/L",NA,0,1.3535
7,3,"RV","Up",2020,"DOC",27.24,"mg/L",NA,0,1.362
8,1,"RV/SS","Up",2021,"DOC",23.15,"mg/L",NA,1,1.1575
8,2,"RV/SS","Up",2021,"DOC",23.13,"mg/L",NA,1,1.1565
8,3,"RV/SS","Up",2021,"DOC",23.23,"mg/L",NA,1,1.1615
9,1,"PC","Up",2022,"DOC",12.06,"mg/L",NA,2,0.603
9,2,"PC","Up",2022,"DOC",377.4,"mg/L",NA,2,18.87
9,3,"PC","Up",2022,"DOC",12.28,"mg/L",NA,2,0.614
10,1,"PC","Rill",2022,"DOC",8.07,"mg/L",NA,2,0.4035
10,2,"PC","Rill",2022,"DOC",6.872,"mg/L",NA,2,0.3436
10,3,"PC","Rill",2022,"DOC",6.981,"mg/L",NA,2,0.34905
11,1,"PC","Bank",2022,"DOC",293.8,"mg/L",NA,2,14.69
11,2,"PC","Bank",2022,"DOC",11.37,"mg/L",NA,2,0.5685
11,3,"PC","Bank",2022,"DOC",8.957,"mg/L",NA,2,0.44785
12,1,"RV","Up",2020,"TN",3.705,"mg N/L",NA,0,0.18525
12,2,"RV","Up",2020,"TN",3.59,"mg N/L",NA,0,0.1795
12,3,"RV","Up",2020,"TN",3.824,"mg N/L",NA,0,0.1912
13,1,"RV/SS","Up",2021,"TN",2.453,"mg N/L",NA,1,0.12265
13,2,"RV/SS","Up",2021,"TN",2.455,"mg N/L",NA,1,0.12275
13,3,"RV/SS","Up",2021,"TN",2.615,"mg N/L",NA,1,0.13075
14,1,"PC","Up",2022,"TN",1.615,"mg N/L",NA,2,0.08075
14,2,"PC","Up",2022,"TN",2.007,"mg N/L",NA,2,0.10035
14,3,"PC","Up",2022,"TN",1.801,"mg N/L",NA,2,0.09005
15,1,"PC","Rill",2022,"TN",1.276,"mg N/L",NA,2,0.0638
15,2,"PC","Rill",2022,"TN",1.123,"mg N/L",NA,2,0.05615
15,3,"PC","Rill",2022,"TN",1.124,"mg N/L",NA,2,0.0562
16,1,"PC","Bank",2022,"TN",1.38,"mg N/L",NA,2,0.069
16,2,"PC","Bank",2022,"TN",1.303,"mg N/L",NA,2,0.06515
16,3,"PC","Bank",2022,"TN",1.343,"mg N/L",NA,2,0.06715
17,1,"RV","Up",2020,"TP",0.677,"mg p/L",NA,0,0.03385
17,2,"RV","Up",2020,"TP",0.585,"mg p/L",NA,0,0.02925
17,3,"RV","Up",2020,"TP",0.641,"mg p/L",NA,0,0.03205
18,1,"RV/SS","Up",2021,"TP",0.719,"mg p/L",NA,1,0.03595
18,2,"RV/SS","Up",2021,"TP",0.763,"mg p/L",NA,1,0.03815
18,3,"RV/SS","Up",2021,"TP",0.794,"mg p/L",NA,1,0.0397
19,1,"PC","Up",2022,"TP",0.587,"mg p/L",NA,2,0.02935
19,2,"PC","Up",2022,"TP",0.662,"mg p/L",NA,2,0.0331
19,3,"PC","Up",2022,"TP",0.619,"mg p/L",NA,2,0.03095
20,1,"PC","Rill",2022,"TP",1.007,"mg p/L",NA,2,0.05035
20,2,"PC","Rill",2022,"TP",0.999,"mg p/L",NA,2,0.04995
20,3,"PC","Rill",2022,"TP",0.992,"mg p/L",NA,2,0.0496
21,1,"PC","Bank",2022,"TP",0.307,"mg p/L",NA,2,0.01535
21,2,"PC","Bank",2022,"TP",0.277,"mg p/L",NA,2,0.01385
21,3,"PC","Bank",2022,"TP",0.265,"mg p/L",NA,2,0.01325
26,1,"PC","Bank",2022,"Na",56.35,"uM",NA,2,0.064774325
25,1,"PC","Rill",2022,"Na",24.7816,"uM",NA,2,0.0284864492
24,1,"PC","Up",2022,"Na",2.4,"uM",NA,2,0.0027588
24,2,"PC","Up",2022,"Na",12.7318,"uM",NA,2,0.0146352041
23,1,"RV/SS","Up",2021,"Na",271.4792,"uM",NA,1,0.3120653404
22,1,"RV","Up",2020,"Na",59.914,"uM",NA,0,0.068871143
26,1,"PC","Bank",2022,"NH4",9.0392,"uM",NA,2,0.00632744
25,1,"PC","Rill",2022,"NH4",8.5708,"uM",NA,2,0.00599956
