sampleID,DateTime,Site,Type,DOC_mgL,ions_uM,NH4_mgNL,SRP_ugL,TC_mgL,TDP_ugL,TN_mgNL,Chloride_mgL,NO3_mgNL,Sample_date,Event_date,Time,stage,Lability,ISCO_numberofbottles,Grab,Pre_Post,Temp_C,mmHG,DO_SAT,DO_mgL,SPC,SiteName,lat,lon,Location,Description,burn,trib_main,eventID,time_at_peak,Gageheight_ft,Peak_cfs,method,sampDateTime,peakDateTime
1,9/1/21 1:59,RC,ISCO,NA,NA,0.117,270.5,NA,NA,NA,NA,NA,9/1/21,9/1/21,12:15,flood,yes,18,yes,post,NA,NA,NA,NA,NA,Rock Creek,33.730505,-111.508744,"33.730505, -111.508744",burned tributary,burned,tributary,20,4:45,3.57,993,Gage height and peak are crude measurments taken from usgs graph,9/1/21 4:45,9/1/21 4:45
100,8/23/20 13:15,BMW,NA,46.4,NA,0.0558,46.5,NA,NA,3.532,29.2,0.00646,8/23/20,8/22/20,13:15,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,2,10:35,3.66,1140,Gage height and peak are crude measurments taken from usgs graph,8/23/20 10:35,8/22/20 10:35
101,8/23/20 13:15,BMW,NA,76.21,NA,0.071,82.9,NA,NA,6.204,30,0.001,8/23/20,8/22/20,13:15,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,2,10:35,3.66,1140,Gage height and peak are crude measurments taken from usgs graph,8/23/20 10:35,8/22/20 10:35
102,8/23/20 13:15,BMW,NA,23.03,NA,0.0233,280,NA,NA,1.98,29.2,0.00571,8/23/20,8/22/20,13:15,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Below Mesquite Wash,33.732297,-111.519353,"33.732297, -111.519353  (ISCO);  33.731558, -111.522387 (Sensors)",below burn main stem,burned,mainstem,2,10:35,3.66,1140,Gage height and peak are crude measurments taken from usgs graph,8/23/20 10:35,8/22/20 10:35
103,8/27/20 10:30,SS,NA,2.455,NA,0.0163,48.3,NA,NA,0.3334,9.56,0.0215,8/27/20,NA,10:30,baseflow,yes,NA,yes,pre,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
104,8/27/20 10:30,SS,NA,2.486,NA,0.001,48.4,NA,NA,0.2879,9.16,0.0658,8/27/20,NA,10:30,baseflow,yes,NA,yes,pre,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
105,8/27/20 10:30,SS,NA,3.173,NA,0.0498,37.2,NA,NA,0.4544,9.38,0.0416,8/27/20,NA,10:30,baseflow,yes,NA,yes,pre,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,NA,NA,NA,NA,NA,NA,NA
106,8/31/20 8:45,UPSS,NA,48.45,NA,0.617,65.3,NA,NA,5.831,7.93,0.616,8/31/20,8/30/20,8:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Above SS,33.760133,-111.502987,"33.760133, -111.502987",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
107,8/31/20 8:45,UPSS,NA,71.26,NA,0.529,90.3,NA,NA,9.262,10.9,0.327,8/31/20,8/30/20,8:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Above SS,33.760133,-111.502987,"33.760133, -111.502987",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
108,8/31/20 8:45,UPSS,NA,69.77,NA,0.69,100,NA,NA,8.592,11.5,0.476,8/31/20,8/30/20,8:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Above SS,33.760133,-111.502987,"33.760133, -111.502987",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
109,8/31/20 8:45,UPSS,NA,NA,NA,NA,NA,62.59,NA,NA,NA,NA,8/31/20,8/30/20,8:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,Above SS,33.760133,-111.502987,"33.760133, -111.502987",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
110,8/31/20 9:45,SS,NA,16.44,NA,0.229,246,NA,NA,1.988,9.04,0.0776,8/31/20,8/30/20,9:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
110,8/19/21 1:43,SS,ISCO,NA,NA,0.0544,159,NA,NA,NA,NA,NA,8/19/21,8/18/21,10:48,flood,no,24,no,post,25.3,701.5,98,7.57,274.6,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,19,17:20,11.77,7880,Gage height and peak are crude measurments taken from usgs graph,8/19/21 17:20,8/18/21 17:20
111,8/31/20 9:45,SS,NA,19.45,NA,0.22,325,NA,NA,2.109,9.76,0.0624,8/31/20,8/30/20,9:45,flood,yes,NA,yes,post,NA,NA,NA,NA,NA,SS Ranch,33.753506,-111.505879,"33.753506, -111.505879 (ISCO); 33.753265, -111.506448 (sensors)",below burn main stem,burned,mainstem,3,0:30,0.16,2.93,Gage height and peak are crude measurments taken from usgs graph,8/31/20 0:30,8/30/20 0:30
111,8/16/21 22:29,CC,ISCO,NA,NA,0.032,168,NA,NA,NA,NA,NA,8/16/21,8/16/21,,flood,,NA,,,NA,NA,NA,NA,NA,Camp,33.760368,-111.502611,"33.760368, -111.502611",burned tributary,burned,tributary,18,23:30,3.12,750,Gage height and peak are crude measurments taken from usgs graph,8/16/21 23:30,8/16/21 23:30
