INCIDENT,location_id,fire_area,fire_percent,
Bartlett,BMW,46590.26349,0.012106137,
Jacket,BMW,25260265.13,6.563694033,
Pine,BMW,54125.71661,0.014064169,
Charley,BMW,7193699.053,1.869229768,
Basin,BMW,1895093.239,0.492426034,
Black,BMW,2037583.241,0.529451013,
Willow,BMW,2363822.245,0.614221818,
Gran,BMW,13282689.65,3.451409173,
Little,BMW,88419.39123,0.022975128,
Edge Complex,BMW,167675663.1,43.56928731,
Herden,BMW,384263.4167,0.099848021,
Sunflower,BMW,46887.01558,0.012183246,
Valley,BMW,44742.72025,0.011626067,
Diamond 2,BMW,3513860.785,0.91305087,
Lone,BMW,251799.356,0.06542821,
Granite,BMW,4785162.717,1.243389323,
Sycamore,BMW,745860.5858,0.193806385,
Mesquite,BMW,108662.7593,0.028235218,
Ballantine,BMW,991293.8484,0.257580413,
Mine,BMW,71116.53888,0.018479109,
Woods,BMW,214016.6267,0.055610646,
Picadilla,BMW,1107823.132,0.28785969,
Mine,BMW,827235.8502,0.214951149,
Rincon,BMW,140985.4842,0.036634041,
Potatoe,BMW,231897.487,0.060256856,
Ord,BMW,4166062.463,1.082520678,
Bob,BMW,34091835.32,8.858512564,
Bob,BMW,1108653.816,0.288075537,
Flat,BMW,145673.53,0.037852195,
Sunflower,BMW,52770989.03,13.71215322,
Boulder,BMW,203103.2766,0.052774892,
ONeil,BMW,40349.0916,0.010484415,84.68017733
Bush,BMW,204818983.8,53.22070591,53.22070591
Edge Complex,CC,6933877.066,94.79250299,94.79250299
Bush,CC,7079474.884,96.78295962,96.78295962
Pine,MW,54125.71661,0.106181248,
Edge Complex,MW,43176662.28,84.70191534,
Lone,MW,251799.356,0.493967959,
Mesquite,MW,107864.3613,0.211603156,
Mine,MW,71116.53888,0.139513032,
Woods,MW,59871.6212,0.117453289,
Bob,MW,18940097.97,37.15578023,122.9264143
Bush,MW,50104754.32,98.29311564,98.29311564
Edge Complex,NS,46.17381008,29.98446096,29.98446096
Edge Complex,RC,28583834.64,72.45400666,
Sycamore,RC,172083.4819,0.43619542,
Mesquite,RC,798.3980584,0.002023771,
Ballantine,RC,991293.8484,2.512721334,
Woods,RC,154145.0055,0.390725156,
Picadilla,RC,120965.9677,0.306623276,
Mine,RC,762688.9453,1.933256003,
Bob,RC,15151737.31,38.4064661,116.4420177
Bush,RC,39232869.23,99.44706874,99.44706874
Charley,RV,292401.3346,0.146296683,
Basin,RV,1895093.239,0.948168913,
Black,RV,2037583.241,1.019460704,
Willow,RV,2363822.245,1.182687333,
Edge Complex,RV,68719141.04,34.38213589,
Sunflower,RV,43846.35573,0.021937576,
Valley,RV,44742.72025,0.022386052,
Diamond 2,RV,3513860.785,1.758084243,
Rincon,RV,140985.4842,0.070539038,
Potatoe,RV,231897.487,0.116024892,
Ord,RV,4166062.463,2.084399246,
Bob,RV,1108653.816,0.554690958,
Flat,RV,145673.53,0.0728846,
Sunflower,RV,52770989.03,26.40282298,
Boulder,RV,203103.2766,0.101618332,
ONeil,RV,40349.0916,0.020187795,68.90432524
Bush,RV,87334713.13,43.69603476,43.69603476
Bartlett,SS,46590.26349,0.017130963,
Jacket,SS,9210462.862,3.38663238,
Charley,SS,7193699.053,2.64508033,
Basin,SS,1895093.239,0.696814506,
Black,SS,2037583.241,0.749207232,
Willow,SS,2363822.245,0.869163372,
Gran,SS,12111911.78,4.453477881,
Little,SS,88419.39123,0.032511284,
Edge Complex,SS,95915012.01,35.2673791,
Sunflower,SS,46887.01558,0.017240077,
Valley,SS,44742.72025,0.016451632,
Diamond 2,SS,3513860.785,1.292025699,
Granite,SS,4785162.717,1.759475853,
Mine,SS,18.04541882,6.64E-06,
Rincon,SS,140985.4842,0.051839524,
Potatoe,SS,231897.487,0.085267326,
Ord,SS,4166062.463,1.531836374,
Bob,SS,1108653.816,0.40764541,
Flat,SS,145673.53,0.05356329,
Sunflower,SS,52770989.03,19.40357861,
Boulder,SS,203103.2766,0.074679866,
ONeil,SS,40349.0916,0.014836121,72.82584347
Bush,SS,115343732.5,42.41120398,42.41120398
Edge Complex,UPSS,6933877.066,94.77851796,94.77851796
Bush,UPSS,7079474.884,96.76868094,96.76868094
